F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.25, AccY:0.26, AccZ:0.72, GyroX:-21.92, GyroY:26.04, GyroZ:27.89
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.34, AccY:-0.03, AccZ:1.02, GyroX:24.51, GyroY:45.17, GyroZ:25.73
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.24, AccY:0.17, AccZ:1.07, GyroX:-13.11, GyroY:29.60, GyroZ:29.93
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.21, AccY:0.06, AccZ:0.97, GyroX:-33.32, GyroY:25.43, GyroZ:34.82
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.21, AccY:-0.10, AccZ:1.05, GyroX:-28.85, GyroY:19.59, GyroZ:25.46
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.19, AccY:0.04, AccZ:0.82, GyroX:-31.58, GyroY:26.96, GyroZ:23.37
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.17, AccY:-0.12, AccZ:0.93, GyroX:-27.96, GyroY:44.52, GyroZ:20.50
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.21, AccY:-0.21, AccZ:0.96, GyroX:-19.95, GyroY:48.70, GyroZ:15.86
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.23, AccY:-0.16, AccZ:0.93, GyroX:-3.11, GyroY:65.08, GyroZ:13.93
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.27, AccY:-0.17, AccZ:0.95, GyroX:0.27, GyroY:82.38, GyroZ:16.44
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.32, AccY:-0.15, AccZ:1.08, GyroX:-1.44, GyroY:103.11, GyroZ:21.35
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.32, AccY:-0.20, AccZ:1.19, GyroX:-5.03, GyroY:128.07, GyroZ:31.73
